,fname,lname,nname,height,weight,reach,stance,win,lose,draw
520,Rafael,Carvalho,,"6' 3""",185 lbs.,--,,14,1,0
521,Shane,Carwin,The Engineer,"6' 2""",265 lbs.,"80.0""",Orthodox,12,2,0
522,Johnny,Case,Hollywood,"5' 10""",155 lbs.,"72.0""",Orthodox,22,6,0
523,Kevin,Casey,King,"5' 11""",185 lbs.,"77.0""",Southpaw,9,5,2
524,Cortney,Casey,Cast Iron,"5' 7""",125 lbs.,"67.0""",Orthodox,9,9,0
525,Brandon,Cash,Money,"6' 5""",255 lbs.,--,Orthodox,10,4,0
526,Bendy,Casimir,,"5' 5""",145 lbs.,--,Southpaw,20,14,2
527,Dwayne,Cason,,"5' 10""",212 lbs.,--,Orthodox,1,1,0
528,Joe,Cason,,"6' 3""",205 lbs.,--,,9,1,0
529,John,Castaneda,Sexy Mexi,"5' 6""",135 lbs.,"71.0""",Switch,18,5,0
530,Eric,Castile,,"5' 8""",145 lbs.,--,,3,2,0
531,Gil,Castillo,,"5' 9""",170 lbs.,--,Southpaw,8,5,0
532,Danny,Castillo,Last Call,"5' 9""",155 lbs.,"71.0""",Orthodox,17,10,0
533,Raul,Castillo,,"5' 11""",185 lbs.,--,Orthodox,7,1,0
534,Jenna,Castillo,,"5' 2""",125 lbs.,--,,1,0,0
535,Tim,Catalfo,Obake,"5' 11""",235 lbs.,--,Orthodox,4,2,0
536,Nick,Catone,The Jersey Devil,"6' 0""",185 lbs.,"72.0""",Southpaw,10,4,0
537,Luke,Caudillo,Lil' Hulk,"5' 7""",155 lbs.,--,Orthodox,17,17,0
538,Gesias,Cavalcante,JZ,"5' 8""",155 lbs.,"71.0""",Orthodox,21,10,1
539,Rafael,Cavalcante,Feijao,"6' 1""",205 lbs.,"74.0""",Orthodox,12,7,0
540,Magnus,Cedenblad,Jycken,"6' 5""",185 lbs.,"79.0""",Orthodox,14,5,0
541,Yosdenis,Cedeno,Pink Panther,"5' 8""",155 lbs.,"69.0""",Orthodox,10,6,1
542,Henry,Cejudo,The Messenger,"5' 4""",135 lbs.,"64.0""",Orthodox,16,2,0
543,Adam,Cella,El Naturel,"6' 2""",170 lbs.,--,,6,8,0
544,Donald,Cerrone,Cowboy,"6' 1""",170 lbs.,"73.0""",Orthodox,36,16,0
545,Jared,Chaffee,,"5' 10""",155 lbs.,--,,5,2,0
546,Luan,Chagas,Tarzan,"6' 0""",170 lbs.,"75.0""",Orthodox,15,3,1
547,Ansar,Chalangov,,"5' 9""",170 lbs.,--,Orthodox,14,5,0
548,Alex,Chambers,Astro Girl,"5' 3""",115 lbs.,"63.0""",Southpaw,5,5,0
549,Michael,Chandler,Iron,"5' 8""",155 lbs.,"71.0""",Orthodox,22,6,0
550,Donnie,Chappell,,"5' 11""",178 lbs.,--,Southpaw,0,1,0
551,Joe,Charles,The Ghetto Man,"6' 1""",260 lbs.,--,Southpaw,6,13,0
552,Dan,Charles,The Man,"6' 2""",228 lbs.,--,,10,6,1
553,Ernest,Chavez,EJ,"5' 8""",145 lbs.,"70.0""",Orthodox,10,2,0
554,Emilio,Chavez,,"5' 9""",145 lbs.,--,,12,9,0
555,Danny,Chavez,The Colombian Warrior,"5' 8""",145 lbs.,"67.0""",Orthodox,11,4,1
556,Gabriel,Checco,Zangief,"6' 1""",185 lbs.,--,Switch,10,2,0
557,Albert,Cheng,,"5' 11""",170 lbs.,--,Orthodox,7,4,0
558,Fabio,Cherant,Water Buffalo,"6' 1""",205 lbs.,"74.0""",Southpaw,7,3,0
559,Ion,Cherdivara,,--,205 lbs.,--,,1,1,0
