,name,nname,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
23674,Keigo Kunihara,,3,2,0,0,"6'0""",235lbs,0,Orthodox,--,0.17,0.1,1.99,0.5700000000000001,4.97,0.4,1.0,2.5
23688,Rizvan Kuniev,,11,2,1,0,"6'4""",240lbs,76,Orthodox,"Oct03,1992",7.09,0.73,1.55,0.51,4.09,0.75,0.0,0.0
23702,Kiichi Kunimoto,Strasser,18,7,2,1,"5'10""",170lbs,71,Orthodox,"May01,1981",1.87,0.44,3.92,0.41000000000000003,1.5899999999999999,0.2,0.28,0.30000000000000004
23716,Aleksei Kunchenko,,20,2,0,0,"5'8""",170lbs,70,Orthodox,"May02,1984",3.67,0.44,2.83,0.63,0.25,0.33,0.8,0.0
23730,Maiju Kujala,,6,3,0,0,--,135lbs,0,,--,2.5,0.4,5.5,0.36,0.0,0.0,0.5,0.0
23744,Anton Kuivanen,,24,10,0,0,"5'8""",155lbs,72,Orthodox,"May01,1984",2.27,0.38,1.63,0.67,1.2,1.0,0.71,0.4
23758,John Kuhner,,1,2,0,0,--,170lbs,0,,"Oct12,1982",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23772,Michael Kuiper,,15,5,0,0,"6'0""",185lbs,73,Orthodox,"Jun07,1989",3.2800000000000002,0.54,3.62,0.54,2.3,0.55,0.79,0.0
23786,Junya Kudo,,10,7,2,0,--,135lbs,0,Orthodox,--,1.85,0.71,4.44,0.33,0.0,0.0,0.0,0.0
23800,Mariusz Ksiazkiewicz,The Iron Pol,8,1,0,0,"6'3""",185lbs,75,Southpaw,"Oct04,1989",0.93,0.45,3.4,0.39,4.0,1.0,0.0,2.0
23814,Nikita Krylov,The Miner,27,9,0,0,"6'3""",205lbs,77,Orthodox,"Mar07,1992",4.35,0.56,2.44,0.43,1.43,0.35000000000000003,0.54,1.3
23828,Jorgen Kruth,The Last Viking,5,0,0,0,"6'2""",205lbs,0,,"May08,1974",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23842,Pascal Krauss,Panzer,11,2,0,0,"6'1""",170lbs,0,Orthodox,"Apr19,1987",5.45,0.47000000000000003,3.88,0.59,1.53,0.5,0.6000000000000001,0.9
23856,Rene Kronvold,,5,1,0,0,"5'8""",170lbs,0,Orthodox,--,0.8200000000000001,1.0,2.47,0.6000000000000001,0.0,0.0,0.66,4.1
23870,Derrick Krantz,D-Rock,22,12,0,0,"5'10""",170lbs,72,Orthodox,"Jan13,1988",2.07,0.37,4.03,0.5,3.18,0.5,0.0,0.8
23884,James Krause,The,28,9,0,0,"6'2""",170lbs,73,Orthodox,"Jun04,1986",4.79,0.49,4.11,0.61,0.96,0.18,0.59,0.9
23898,Karolina Kowalkiewicz,,13,7,0,0,"5'3""",115lbs,64,Orthodox,"Oct15,1985",5.38,0.41000000000000003,5.59,0.56,0.18,0.18,0.75,0.30000000000000004
23912,Steve Kozola,,8,0,0,0,--,155lbs,0,,--,3.9,0.39,4.36,0.5,2.34,1.0,1.0,0.0
23926,Marcus Kowal,,3,1,1,0,--,135lbs,0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23940,Juliana Lima,Ju Thai,9,5,0,0,"5'5""",115lbs,65,Orthodox,"Mar15,1982",1.94,0.44,2.11,0.55,1.72,0.31,0.7000000000000001,0.0
23954,Jae Suk Lim,,17,6,0,0,"5'9""",170lbs,0,Orthodox,"Nov09,1979",2.43,0.5,4.05,0.37,12.16,1.0,1.0,0.0
23968,Hyun Gyu Lim,The Ace,13,7,1,0,"6'3""",170lbs,77,Orthodox,"Jan16,1985",4.45,0.41000000000000003,5.07,0.51,0.23,1.0,0.73,0.2
23982,Donnie Liles,,17,7,0,0,"5'9""",170lbs,0,Orthodox,--,2.25,0.41000000000000003,1.75,0.65,2.5,0.28,0.0,1.2
23996,Chris Liguori,,15,10,0,0,"5'9""",185lbs,0,Orthodox,--,0.29,0.33,1.44,0.0,0.0,0.0,0.5,0.0
24010,Sam Liera,,12,10,0,0,--,--,0,,--,0.8200000000000001,0.6000000000000001,7.36,0.51,0.0,0.0,0.66,0.0
