iter	Passed	Remaining
574	4216	3116
575	4223	3108
576	4228	3100
577	4234	3091
578	4241	3084
579	4247	3075
580	4253	3067
581	4259	3059
582	4269	3053
583	4281	3050
584	4287	3041
585	4293	3033
586	4305	3028
587	4311	3020
588	4317	3012
589	4324	3004
590	4331	2997
591	4337	2989
592	4345	2982
593	4350	2973
594	4357	2966
595	4363	2957
596	4369	2949
597	4375	2941
598	4383	2934
599	4392	2928
600	4398	2919
601	4404	2911
602	4413	2905
603	4419	2897
604	4424	2888
605	4430	2880
606	4439	2874
607	4451	2869
608	4459	2863
609	4465	2855
610	4471	2846
611	4476	2838
612	4482	2829
613	4487	2821
614	4493	2812
615	4498	2804
616	4503	2795
617	4509	2787
618	4514	2778
619	4519	2770
620	4525	2761
621	4530	2753
622	4536	2745
623	4545	2738
624	4563	2738
625	4572	2731
626	4581	2725
627	4592	2720
628	4602	2714
629	4611	2708
630	4625	2704
631	4635	2699
632	4645	2693
633	4656	2688
634	4675	2687
635	4743	2714
636	4757	2711
637	4767	2705
638	4789	2705
639	4799	2699
640	4810	2694
641	4818	2687
642	4825	2679
643	4830	2670
644	4836	2662
645	4842	2653
646	4847	2644
647	4853	2636
648	4858	2627
649	4864	2619
650	4869	2610
651	4875	2602
652	4880	2593
653	4886	2585
654	4891	2576
655	4897	2568
656	4902	2559
657	4908	2551
658	4913	2542
659	4919	2534
660	4929	2528
661	4938	2521
662	4944	2513
663	4949	2504
664	4956	2496
665	4961	2488
666	4967	2479
667	4973	2471
668	4978	2463
669	4984	2454
670	4989	2446
671	4995	2438
672	5000	2429
673	5005	2421
674	5011	2412
675	5016	2404
676	5022	2396
677	5027	2387
678	5033	2379
679	5038	2371
680	5044	2362
681	5049	2354
682	5054	2346
683	5063	2339
684	5073	2333
685	5094	2331
686	5106	2326
687	5117	2320
688	5128	2314
689	5140	2309
690	5155	2305
691	5163	2298
692	5175	2292
693	5184	2286
694	5190	2277
695	5196	2269
696	5202	2261
697	5208	2253
698	5215	2245
699	5220	2237
700	5226	2229
701	5232	2221
702	5238	2213
703	5244	2205
704	5250	2196
705	5255	2188
706	5264	2181
707	5269	2173
708	5277	2165
709	5285	2158
710	5298	2153
711	5304	2145
712	5309	2137
713	5315	2129
714	5320	2120
715	5326	2112
716	5331	2104
717	5336	2096
718	5342	2087
719	5347	2079
720	5353	2071
721	5358	2063
722	5364	2055
723	5369	2046
724	5374	2038
725	5380	2030
726	5385	2022
727	5391	2014
728	5400	2007
729	5408	2000
730	5418	1993
731	5428	1987
732	5434	1979
733	5440	1971
734	5446	1963
735	5452	1955
736	5457	1947
737	5462	1939
738	5468	1931
739	5473	1923
740	5479	1915
741	5484	1906
742	5489	1898
743	5495	1890
744	5500	1882
745	5506	1874
746	5512	1866
747	5517	1858
748	5523	1850
749	5529	1843
750	5534	1835
751	5539	1827
752	5545	1819
753	5550	1811
754	5556	1803
755	5561	1795
756	5566	1786
757	5572	1779
758	5577	1771
759	5586	1764
760	5596	1757
761	5603	1750
762	5608	1742
763	5614	1734
764	5620	1726
765	5626	1718
766	5633	1711
767	5639	1703
768	5644	1695
769	5649	1687
770	5655	1679
771	5660	1671
772	5666	1663
773	5671	1656
774	5676	1648
775	5682	1640
776	5688	1632
777	5693	1624
778	5698	1616
779	5704	1608
780	5709	1600
781	5714	1593
782	5719	1585
783	5725	1577
784	5730	1569
785	5736	1561
786	5742	1554
787	5747	1546
788	5756	1539
789	5767	1533
790	5773	1525
791	5778	1517
792	5784	1509
793	5789	1502
794	5795	1494
795	5801	1486
796	5806	1478
797	5811	1471
798	5817	1463
799	5822	1455
800	5828	1448
801	5833	1440
802	5839	1432
803	5844	1424
804	5850	1417
805	5855	1409
806	5861	1401
807	5866	1394
808	5871	1386
809	5877	1378
810	5882	1370
811	5888	1363
812	5893	1355
813	5899	1347
814	5904	1340
815	5909	1332
816	5915	1324
817	5924	1318
818	5934	1311
819	5940	1303
820	5945	1296
821	5952	1288
822	5957	1281
823	5963	1273
824	5969	1266
825	5974	1258
826	5980	1250
827	5985	1243
828	5990	1235
829	5995	1228
830	6001	1220
831	6006	1212
832	6012	1205
833	6017	1197
834	6023	1190
835	6028	1182
836	6034	1175
837	6039	1167
838	6045	1160
839	6051	1152
840	6057	1145
841	6064	1138
842	6070	1130
843	6075	1123
844	6081	1115
845	6087	1108
846	6096	1101
847	6106	1094
848	6115	1087
849	6120	1080
850	6126	1072
851	6132	1065
852	6137	1057
853	6143	1050
854	6148	1042
855	6153	1035
856	6159	1027
857	6164	1020
858	6169	1012
859	6175	1005
860	6180	997
861	6186	990
862	6191	982
863	6197	975
864	6202	968
865	6208	960
